05806768|0000000057
BJ200596|0000000058
B1260898|0000000059
1828011A|0000000060
1828012A|0000000061
03641025|0000000062
62001656|0000000063
M7200186|0000000064
3345KVJT|0000000065
04810997|0000000066
111801MG|0000000067
111802MG|0000000068
111808MG|0000000069
05305123|0000000070
05305124|0000000071
05305125|0000000072
PB000044|0000000073
MGO13761|0000000074
171061MG|0000000075
111803MG|0000000076
04810998|0000000077
000124MG|0000000078
086111MG|0000000079
1828013A|0000000080
B2033047|0000000081
B2033048|0000000082
B2033049|0000000083
011530KS|0000000084
KMG28889|0000000085
KMG28890|0000000086
619PKBCR|0000000087
01849KMG|0000000088
MGS01255|0000000089
MGS01254|0000000090
B1260899|0000000091
0487KSWD|0000000092
MG186195|0000000093
MG028839|0000000094
MG028840|0000000095
MG028841|0000000096
MGOO0683|0000000097
MGOO0684|0000000098
MGOO0685|0000000099
MGOO0686|0000000100
MGOO0687|0000000101
MGOO0688|0000000102
MGOO0689|0000000103
PSO00098|0000000104
KMGD1191|0000000105
01052KMG|0000000106
011531KS|0000000107
01053KMG|0000000108
05806769|0000000109
05806770|0000000110
B7903871|0000000111
